city_region,graph_type,value_name,city_name,value
europe,tab-overall,all,zurich,74.6%
asia,tab-overall,all,singapore,74.1%
europe,tab-overall,all,stockholm,73.9%
europe,tab-overall,all,vienna,73.4%
europe,tab-overall,all,london,73.2%
europe,tab-overall,all,frankfurt,70.6%
asia,tab-overall,all,seoul,69.6%
europe,tab-overall,all,hamburg,69.2%
europe,tab-overall,all,prague,69.1%
europe,tab-overall,all,munich,68.6%
europe,tab-overall,all,amsterdam,68.2%
europe,tab-overall,all,geneva,68.1%
europe,tab-overall,all,edinburgh,68.1%
europe,tab-overall,all,copenhagen,68%
europe,tab-overall,all,paris,67.6%
asia,tab-overall,all,hong_kong,66.8%
europe,tab-overall,all,berlin,66.7%
australasia,tab-overall,all,canberra,66.6%
europe,tab-overall,all,rotterdam,66.6%
europe,tab-overall,all,madrid,66.3%
australasia,tab-overall,all,sydney,66.3%
europe,tab-overall,all,rome,65.2%
north_america,tab-overall,all,vancouver,65%
europe,tab-overall,all,barcelona,64.1%
uk,tab-overall,all,manchester,63.4%
north_america,tab-overall,all,new_york,62.9%
australasia,tab-overall,all,wellington,62.8%
north_america,tab-overall,all,montreal,62.7%
europe,tab-overall,all,antwerp,62.4%
australasia,tab-overall,all,brisbane,62.4%
uk,tab-overall,all,birmingham,62.4%
australasia,tab-overall,all,melbourne,62%
north_america,tab-overall,all,toronto,61.7%
north_america,tab-overall,all,boston,61.7%
europe,tab-overall,all,_dublin,60.6%
uk,tab-overall,all,glasgow,60.5%
europe,tab-overall,all,warsaw,60.3%
uk,tab-overall,all,leeds,60.2%
north_america,tab-overall,all,san_francisco,60.1%
europe,tab-overall,all,brussels,60%
asia,tab-overall,all,macau,59.6%
europe,tab-overall,all,milan,59.5%
north_america,tab-overall,all,seattle,59.4%
north_america,tab-overall,all,washington,59.3%
asia,tab-overall,all,tokyo,59.1%
europe,tab-overall,all,lisbon,58.6%
europe,tab-overall,all,lyon,58.3%
asia,tab-overall,all,taipei,57.8%
north_america,tab-overall,all,denver,57.5%
